"title","category","address","otherAddress","detailLink","website","latitude","longitude","detailImgUrl"
"0.3","와인바","대구 중구 국채보상로123길 16 지하1층","(지번) 문화동 9-14","https://place.map.kakao.com/755460188","https://www.instagram.com/zer0.3_/","35.871396864","128.597605574","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1A529DC46B0F4647BB12CC7573FA667B,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA1MTBfMTMz%2FMDAxNjIwNjMzNjI2ODUx.vKmm_3XA56hV3RolqJ8s_PyAPZ3mIHU1elq3RvUc0k4g.XQSnSYGEItDzGQzKcSuhIuA2ziPFQAT3CsKSmh4PYCcg.JPEG.dmswl702%2F8.jpg%3Ftype%3Dw966,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA1MTBfMTcy%2FMDAxNjIwNjMzNjI1NjUx.1-0jWKFnlyKOVO6gJ6CHXAV9KCInDYJtCvk-NN276Pog.NG8yCeeCejIXeD-WhYd8ABsZKs_JFCWUo2B6KVktilYg.JPEG.dmswl702%2F1.jpg%3Ftype%3Dw966,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA0MDFfMjcx%2FMDAxNjE3MjA4NjY0MjA0.9VHmNnuDU_2OmCTuBPQFOMatDUD1CngG94yNRFVJ_Zcg.rfQK0_PvF1-6JpjTyuCuTdzHt5M9nwuB7jz6Mn4tsgAg.JPEG.pk2hee%2FIMG_7450.jpg%3Ftype%3Dw773,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA0MDFfMjEg%2FMDAxNjE3MjA4NjYzMzM0.70EfwhMn3v99G0p7BhO0vpBgWc9641fY1ttvpXKxU9Yg.x5cDZFGjv_tsEajsFnqqyOIrHec7fEycbacQQPt0ij0g.JPEG.pk2hee%2FIMG_7444.jpg%3Ftype%3Dw773"
"08001바르셀로나","와인바","충남 공주시 제민천3길 78 1층","(지번) 중동 147-279","https://place.map.kakao.com/2137705739","","36.455327601","127.123167217","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBDCC98CCBFDC4287B5715C666A0AFF51,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F38edbfdcd02fe43c8e458c6f352c681e2df8edd0%3Foriginal,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8ebe263fccc814d5435496c1daa4f08e9bf2e9c4%3Foriginal,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F89d866ff377c466fbeb14f0837b38e476021b0ce%3Foriginal,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc0f6630bcdbc86096d0c6e49fccff28da1e9fb32%3Foriginal"
"101바","와인바","서울 영등포구 양평로17길 6","(지번) 양평동4가 78-1","https://place.map.kakao.com/20540727","","37.536145107","126.895973746",""
"101호","와인바","서울 마포구 희우정로 128 1층","(지번) 망원동 418-17","https://place.map.kakao.com/717145476","","37.555778816","126.899737407","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5D1FC8609E19453ABA7C7D1555E3D35D,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F85129F7275024942903D9FD65D0FC9AB,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEAAD7268730148AC989E6E779904E181,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA72D6159C1D341CE84825897903F568C,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4B3B499DA13C4CC9AD99BEA4A1D71465"
"102호","와인바","경기 안산시 단원구 광덕서로 100 두성타워빌 102호","(지번) 고잔동 704-2","https://place.map.kakao.com/1006709242","https://www.instagram.com/102_x_wine","37.313546775","126.827687946",""
"110","와인바","인천 부평구 배곶로 4 동아프라자 202호","(지번) 십정동 419-17","https://place.map.kakao.com/1761245249","","37.469872096","126.700324155","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2028F59968D8429B928BB481715F80B8,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Fpostfiles13.naver.net%2FMjAyMDA5MTNfMTg0%2FMDAxNTk5OTYzNDAxMzY1.hjwee4hoh35K8k4H4z-ZT7aYWEBgnr1myXDby5Po-4Yg.sv9bX1z1BJHyFgIiNXX4DAMHqEmKjs2ZxpfLdkhZ8_Mg.JPEG.wkqlqhsh%2F1599963400661.jpg%3Ftype%3Dw773,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Fpostfiles1.naver.net%2FMjAyMDA5MDZfMjMw%2FMDAxNTk5Mzg2NTg4MzY1.-LgysCwaWHILq-vqOItxHK8nvZqI5NsKHcIcD4HHcUcg.J4N_4SAQ9q-jHMjPCT6j7NJ-vMHT75skIw4mJrBLIPUg.JPEG.wkqlqhsh%2F1599386586903.jpg%3Ftype%3Dw773,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Fpostfiles5.naver.net%2FMjAyMDA5MDZfMjg5%2FMDAxNTk5Mzg2NTgxMjI4.cx7930ep0sQD1_-4COn_SpTqLIX2-fK2D7Ss1fy0VqQg.JhzO_OtYBecO62Q5p3tE8W2wG4i6UCCiTi5_wJbOjPMg.JPEG.wkqlqhsh%2F1599386579774.jpg%3Ftype%3Dw773,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Fpostfiles12.naver.net%2FMjAyMDA5MDZfMjc2%2FMDAxNTk5Mzg2NTgwNDg2.CjbfkbHH-thVbGQSQJrLTHGDMRmRw2MeiLLvDvSRDLIg.v3n7eHmj6A320gDK6JNIHQeVzWkGgw_e-_capoUDqqcg.JPEG.wkqlqhsh%2F1599386579037.jpg%3Ftype%3Dw773"
"11그릴","와인바","부산 부산진구 부전로66번길 28 1층","(지번) 부전동 516-45","https://place.map.kakao.com/1873835024","https://app.catchtable.co.kr/ct/shop/11grill","35.155785171","129.056234167","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2CA5C21AE3BE481385508335B693A387,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FR3Bcy%2Fbtr0zRH3Tfo%2FqJWrKzQ4EvkbdGcKSxOYhK%2Fimg.jpg,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FmePVQ%2Fbtr0ybmNWBe%2FQQR8dWBGPtBNL62MYEAYa1%2Fimg.jpg,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbI6YrI%2Fbtr0vcGK5Gv%2F7ixapqpAB3mKU04LIoqPU1%2Fimg.jpg,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbFdkmB%2Fbtr0ycFY0ha%2FFQr5kUYOKR370pL9en6Re1%2Fimg.jpg"
"125스트릿와인바","와인바","강원 동해시 동굴로 125-6","(지번) 천곡동 916","https://place.map.kakao.com/1539819691","https://www.instagram.com/donghae125bar","37.5197489","129.117122033","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA490D90268D64FF691E029F27F9FBCC8,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTNfMTQg%2FMDAxNjc4NzExOTkyNTYy.OJBCZCgF5A_ZwWkbsEi0XmDLZ4thoj3EJSZx0gsa-L0g.RJtq-zzEKlyExYB4XsEASihfuuXyx8y9A6sDBqFR0OQg.JPEG.bvlgom1%2F20230227%25EF%25BC%25BF220902.jpg%3Ftype%3Dw580,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTNfMjA2%2FMDAxNjc4NzExOTkyMjE4.cWTF-53fYRJE17a4n_g8HCfFf6KTIxtoSNv6flbWKW0g.ghMzSnxUxSpeW5KL6IPj2GUO1pk5eBvc1lnNiFmSWFMg.JPEG.bvlgom1%2F20230227%25EF%25BC%25BF220900.jpg%3Ftype%3Dw580,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTNfMjQz%2FMDAxNjc4NzExOTkxOTI2.R8lKgOLLo6r-P2MR3zr4gkxUIfO39LKXBUoWVZ3Tq5Ug.9nLJTrIoMDl3jig38wZMbNUKHMfa08lStmnV2oihVtAg.JPEG.bvlgom1%2F20230227%25EF%25BC%25BF220855.jpg%3Ftype%3Dw580,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTNfMTMy%2FMDAxNjc4NzEyOTM4OTU5.59ICZ07uSlIpFXf87SgAxF5ZtBFsKn8RH3_N1xAw4vAg.8E_W2KRVRa6t1v1hvTbk-YRn8zoKdQchVglGttTM8egg.JPEG.bvlgom1%2F20230227%25EF%25BC%25BF213455.jpg%3Ftype%3Dw580"
"12바","와인바","서울 마포구 독막로9길 18 1층","(지번) 서교동 403-21","https://place.map.kakao.com/10761371","","37.549083014","126.920106062","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F03062A03792A12E3D9"
"12월20","와인바","경기 부천시 소향로37번길 19","(지번) 상동 545-13","https://place.map.kakao.com/1307263478","https://app.catchtable.co.kr/ct/shop/dt","37.504366802","126.751443162","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F980D7053B98648779B7DA3BDAB50C115,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa861c4b19e64679984897a97f887952c0f0cf368%3Foriginal,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F51c32d17621f49798968d204904a211df08c9b32%3Foriginal,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F44e6dfec3a7d5dad00fb5f47853b21de6aa714da%3Foriginal,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F98f7190ccc13bb8dcb091e7be5e41ac318e9676f%3Foriginal"
