"title","category","address","otherAddress","detailLink","website","latitude","longitude","detailImgUrl"
"831St위스키바","술집","서울 강남구 역삼로3길 17-6","(지번) 역삼동 831-30","https://place.map.kakao.com/548174741","","37.494692469","127.030602851",""
"889","와인바","경기 구리시 경춘로276번길 21 한양수자인아파트상가 2층 204호","(지번) 수택동 889","https://place.map.kakao.com/120472755","","37.602222456","127.146451052","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9DCDEFB80FF9467BB86CD05F616CE04D,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8A7E8A7A90434209A80E40E60013C4C4,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F7600B69BFC8B48E697796CB0182CBB9A,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F912EFCFC0FFC421E808972D9CC422416,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF4DFE1ECEB734F81AF4DCDADDD1C72DA"
"가자주류 세종점","주류판매","세종특별자치시 도움1로 7 세종 베스트웨스턴 호텔 1층 108호","(지번) 어진동 540","https://place.map.kakao.com/1984958010","","36.500267425","127.258036877","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2B58AC3832FF45CD95F84EED1E9086CE,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC78851494FCC49028D7959DA948576DA,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1195F8C85D424A47A35F9E5AB4EE672A,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCA79859C94054CD0AE7864CF896DBF67,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE33DB51A60BB4FA6AF22F445E9CBF47E"
"가자주류 원주기업도시점","주류판매","강원 원주시 지정면 신지정로 212 원주퍼스트프라자 1층 105호(베스킨라빈스31 건너편)","(지번) 지정면 가곡리 1347-3","https://place.map.kakao.com/141658291","https://www.instagram.com/kajawonju/","37.374782368","127.873644947","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6D3B1A2171234DD9B6CECB8A897006AD,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA8EDF1C97F4F4759863493FB2C00370D,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD6859C9EA665483EB0E1104621485A58,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F784765E5D12B43E184A1A50BC22AA23F,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7E2D4D16A73F4950BAF1AB8B74814E93"
"개나리위스키","칵테일바","서울 강남구 논현로157길 15 1층","(지번) 신사동 565-3","https://place.map.kakao.com/976275269","http://www.instagram.com/gaenari_whiskey","37.52232101","127.026698799","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6BD2376252C54B18AFDF3CE0C7EF597A,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3C502A28F62A42C38D800456CD4AB503,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEE72CF6684E64A07AA428A81011EF146,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd5f54e60a273e10073550ccefa116a00a6995292%3Foriginal,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Feee96046dc6320dad398a06ef4d12150562be8d6%3Foriginal"
"게리슨","칵테일바","서울 강남구 선릉로161길 18 지하1층","(지번) 신사동 661-13","https://place.map.kakao.com/1668489082","https://instagram.com/garrison.cheongdam","37.527474995","127.039007802","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA1527A73FF304AC9B9194720E9979326,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F04CC3FD829B2464AAC8CEB492DF2BCFC,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F50230D1697ED4CD3B93DDB952385D64F,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F338BF3208C4C4A528BCCA7D041B08D1E,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC4906D05D1F14C29BB3D63E1BFE74B7C"
"고래맥주 오류점","호프,요리주점","서울 구로구 경인로20가길 68 상가 120호","(지번) 오류동 64-28","https://place.map.kakao.com/1514595205","","37.495585258","126.846646709","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFC9A7EB649AB46A398523C689C2DE50F,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F64F304B7A4374BE08D61687807699A06,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F025AA0D60B914C6A98E7E6549ABF8AEA,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F33FF1DEC14364CF4BF537C0751B6F247,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F40E1C195CAEA460791D63602B29435D1"
"고래맥주창고 고양원흥점","호프,요리주점","경기 고양시 덕양구 권율대로 672 119호","(지번) 원흥동 627","https://place.map.kakao.com/1166393781","","37.649872499","126.87418574","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6B68AD9B3E664CDB8CBAED72CB8F9909,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8EF162B18DC74772BEA8942295871CFB,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F40E8ED588A444BA895789E8FB3DDEE39,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2026718341C34DE195C1E78A62192995,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA91BDC3C4953476F8A5222015F657BB2"
"고래맥주창고 대구월성점","호프,요리주점","대구 달서구 조암로 8 1층 109호","(지번) 월성동 1815","https://place.map.kakao.com/1243946491","","35.826049574","128.528557406",""
"고래맥주창고 도내점","호프,요리주점","경기 고양시 덕양구 의장로 140 원흥연세프라자 1층 104호","(지번) 도내동 961","https://place.map.kakao.com/1972771332","https://www.instagram.com/gomacdone","37.635265047","126.870674983","https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7CCAECAA21024B028EB47F6E75FB2606,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4A4F0D0F530B461AB3D2FEAE300ECEDE,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFECCCE10AC7A43A0928E4ACBD42715A1,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9408B2530252426B839FAC457A157C2D,https://img1.kakaocdn.net/cthumb/local/R0x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F72613501A08845D8BC29DF5DAA0B2524"
